date_added,hq,name,sector,symbol
2021-01-21,,Trimble Inc.,Information Technology,TRMB
1997-12-04,,Truist Financial,Financials,TFC
2020-06-22,,Tyler Technologies,Information Technology,TYL
2005-08-10,,Tyson Foods,Consumer Staples,TSN
1999-11-01,,U.S. Bancorp,Financials,USB
2023-12-18,,Uber,Industrials,UBER
2016-03-07,,"UDR, Inc.",Real Estate,UDR
2016-04-18,,Ulta Beauty,Consumer Discretionary,ULTA
1957-03-04,,Union Pacific Corporation,Industrials,UNP
2015-09-03,,United Airlines Holdings,Industrials,UAL
2002-07-22,,United Parcel Service,Industrials,UPS
2014-09-20,,United Rentals,Industrials,URI
1994-07-01,,UnitedHealth Group,Health Care,UNH
2014-09-20,,Universal Health Services,Health Care,UHS
2002-12-20,,Valero Energy,Energy,VLO
2009-03-04,,Ventas,Real Estate,VTR
2023-10-02,,Veralto,Industrials,VLTO
2006-02-01,,Verisign,Information Technology,VRSN
2015-10-08,,Verisk Analytics,Industrials,VRSK
1983-11-30,,Verizon,Communication Services,VZ
2013-09-23,,Vertex Pharmaceuticals,Health Care,VRTX
2004-04-23,,Viatris,Health Care,VTRS
2022-06-08,,Vici Properties,Real Estate,VICI
2009-12-21,,Visa Inc.,Financials,V
2024-05-08,,Vistra Corp,Utilities,VST
1999-06-30,,Vulcan Materials Company,Materials,VMC
2019-12-05,,W. R. Berkley Corporation,Financials,WRB
1981-06-30,,W. W. Grainger,Industrials,GWW
2019-02-27,,Wabtec,Industrials,WAB
1979-12-31,,Walgreens Boots Alliance,Consumer Staples,WBA
1982-08-31,,Walmart,Consumer Staples,WMT
1976-06-30,,Walt Disney Company (The),Communication Services,DIS
2022-04-11,,Warner Bros. Discovery,Communication Services,WBD
1998-08-31,,Waste Management,Industrials,WM
2002-01-02,,Waters Corporation,Health Care,WAT
2008-10-31,,WEC Energy Group,Utilities,WEC
1976-06-30,,Wells Fargo,Financials,WFC
2009-01-30,,Welltower,Real Estate,WELL
2020-05-22,,West Pharmaceutical Services,Health Care,WST
2009-07-01,,Western Digital,Information Technology,WDC
1979-10-01,,Weyerhaeuser,Real Estate,WY
1975-03-31,,Williams Companies,Energy,WMB
2016-01-05,,Willis Towers Watson,Financials,WTW
2024-12-23,,"Workday, Inc.",Information Technology,WDAY
2008-11-14,,Wynn Resorts,Consumer Discretionary,WYNN
1957-03-04,,Xcel Energy,Utilities,XEL
2011-11-01,,Xylem Inc.,Industrials,XYL
1997-10-06,,Yum! Brands,Consumer Discretionary,YUM
2019-12-23,,Zebra Technologies,Information Technology,ZBRA
2001-08-07,,Zimmer Biomet,Health Care,ZBH
2013-06-21,,Zoetis,Health Care,ZTS
